Date,Component,Affiliate Name,Class Name,Result,Is Personal Record,Personal Record Description,Performance Result Type,Comment,From Weightlifting Total
08/15/2019,Push to Half Press,Fitness Battalion,CrossFit Coaches Class,10 x 1 @ 100 lbs,1,PR by 10 lbs vs. 90 on 06/13/2019,Weight,,0
08/13/2019,Push Press,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 145 lbs,1,PR by 5 lbs vs. 140 on 06/11/2019,Weight,,0
08/07/2019,Dead Half 2-2-2,Fitness Battalion,CrossFit: 17:30,10 x 1 @ 175 lbs,1,PR by 40 lbs vs. 135 on 09/17/2018,Weight,,0
07/24/2019,Quick Squat Clean Complex,Fitness Battalion,CrossFit: 12:00,4 x 1 @ 95 lbs,0,,Weight,"35,55,75,95",0
07/23/2019,Back Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 215 lbs,1,PR by 20 lbs vs. 195 on 01/28/2019,Weight,,0
07/17/2019,Floor Press,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 80 lbs,0,,Weight,,0
07/15/2019,Floor Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 108 lbs,1,PR by 3 lbs vs. 105 on 03/13/2019,Weight,,0
07/10/2019,Snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 125 lbs,0,,Weight,,0
07/08/2019,Weighted Push Ups,Fitness Battalion,CrossFit: 17:30,5 x 3 @ 10 lbs,0,,Weight,,0
07/03/2019,Snatch OHS Complex,Fitness Battalion,CrossFit: 17:30,3 x 1 @ 85 lbs,0,,Weight,"35,55,85",0
06/28/2019,Weighted Pull-ups,Fitness Battalion,CrossFit: 17:30,1 x 5 @ 0 lbs,0,,Weight,red 24-4,0
06/26/2019,Clean and Jerk Complex 1,Fitness Battalion,CrossFit: 17:30,10 x 1 @ 125 lbs,0,,Weight,,0
06/24/2019,Clean and Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 150 lbs,0,,Weight,,0
06/19/2019,Front Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 180 lbs,1,PR by 5 lbs vs. 175 on 02/13/2019,Weight,,0
06/17/2019,Quick Squat Clean Complex,Fitness Battalion,CrossFit: 17:30,4 x 1 @ 105 lbs,0,,Weight,"35,55,75,105",0
06/15/2019,Clean and Jerk,Fitness Battalion,CrossFit: 09:00,1 x 1 @ 155 lbs,0,,Weight,,0
06/13/2019,Push to Half Press,Fitness Battalion,CrossFit: 17:30,10 x 1 @ 90 lbs,0,,Weight,,0
06/11/2019,Push Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 140 lbs,1,PR by 13 lbs vs. 127 on 11/02/2018,Weight,,0
06/10/2019,Tempo Front Squat Abs,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 85 lbs,0,,Weight,,0
06/06/2019,Hang Muscle Snatch,Fitness Battalion,CrossFit: 12:00,5 x 3 @ 85 lbs,1,PR by 20 lbs vs. 65 on 10/02/2017,Weight,,0
06/05/2019,Pause Deadlifts,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 145 lbs,0,,Weight,,0
06/03/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 215 lbs,0,,Weight,,0
05/15/2019,Pause Floor Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 75 lbs,0,,Weight,,0
05/14/2019,Hang Clean,Fitness Battalion,CrossFit: 17:30,5 x 5 @ 130 lbs,1,PR by 8 lbs vs. 122 on 02/08/2019,Weight,,0
05/13/2019,Floor Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 100 lbs,0,,Weight,,0
05/10/2019,Snatch,Fitness Battalion,CrossFit: 12:00,10 x 1 @ 105 lbs,0,,Weight,,0
05/08/2019,Snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 125 lbs,1,PR by 10 lbs vs. 115 on 03/27/2019,Weight,,0
05/06/2019,Snatch OHS Complex,Fitness Battalion,CrossFit: 17:30,3 x 1 @ 105 lbs,1,PR by 30 lbs vs. 75 on 10/04/2018,Weight,"65,85,105",0
05/02/2019,Overhead Squat,Fitness Battalion,CrossFit: 12:00,10 x 3 @ 105 lbs,0,,Weight,,0
04/30/2019,Overhead Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 145 lbs,1,PR by 50 lbs vs. 95 on 05/16/2018,Weight,,0
04/24/2019,Clean and Jerk Complex 2,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 120 lbs,0,,Weight,,0
04/22/2019,Clean and Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 165 lbs,1,PR by 5 lbs vs. 160 on 02/18/2019,Weight,,0
04/19/2019,Breathing Pause Squats,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 110 lbs,0,,Weight,2 breath fs,0
04/17/2019,Front Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 165 lbs,0,,Weight,,0
04/08/2019,Weighted Pull-ups,Fitness Battalion,CrossFit: 17:30,1 x 5 @ 0 lbs,0,,Weight,,0
04/03/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 155 lbs,0,,Weight,,0
04/01/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 225 lbs,1,PR by 15 lbs vs. 210 on 02/06/2018,Weight,,0
03/29/2019,Shoulder Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 75 lbs,0,,Weight,,0
03/27/2019,Snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 115 lbs,1,PR by 25 lbs vs. 90 on 11/22/2017,Weight,,0
03/27/2019,Shoulder Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 90 lbs,1,PR by 2.5 lbs vs. 87.5 on 01/28/2019,Weight,,0
03/25/2019,Push Press,Fitness Battalion,CrossFit: 17:30,1 x 3 @ 125 lbs,1,PR by 25 lbs vs. 100 on 02/10/2018,Weight,,0
03/19/2019,Back Squat,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 195 lbs,0,,Weight,,0
03/18/2019,Quick Squat Clean Complex,Fitness Battalion,CrossFit: 17:30,4 x 1 @ 105 lbs,1,PR by 40 lbs vs. 65 on 08/21/2017,Weight,,0
03/15/2019,Floor Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 80 lbs,0,,Weight,,0
03/13/2019,Floor Press,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 105 lbs,1,PR by 10 lbs vs. 95 on 01/08/2018,Weight,,0
02/27/2019,Balance-2OHS,Fitness Battalion,CrossFit: 17:30,10 x 1 @ 105 lbs,0,,Weight,guarding knee shallow,0
02/18/2019,Clean and Jerk,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 160 lbs,1,PR by 18 lbs vs. 142 on 04/26/2018,Weight,,0
02/15/2019,Clean to Front Squat,Fitness Battalion,CrossFit: 12:00,10 x 1 @ 125 lbs,0,,Weight,,0
02/13/2019,Front Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 175 lbs,1,PR by 15 lbs vs. 160 on 10/10/2018,Weight,,0
02/11/2019,Jerk Complex,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 75 lbs,0,,Weight,,0
